fluence,length,alt,az,transient_id,est_length,n_src,n_bkg,alt_ml,az_ml,err,exp_angdist,conf,wait_time,mapping_time
2.795,2.219,78.284,135.000,150,2.2,476,815,80.487,128.077,2.541,3.503,0.8634,2.219,0.195
4.896,2.677,78.284,135.000,151,2.7,883,987,77.549,135.000,0.735,1.231,0.0000,2.677,0.098
1.274,0.721,78.284,135.000,152,0.7,218,281,76.077,130.263,2.442,2.684,0.3027,0.721,0.173
4.627,0.502,78.284,135.000,153,0.5,789,194,75.341,137.250,2.987,3.002,0.9940,0.502,0.074
4.470,1.484,78.284,135.000,154,1.5,735,523,75.341,141.750,3.317,3.337,0.9411,1.484,0.092
3.830,1.066,78.284,135.000,155,1.1,613,367,76.814,137.500,1.566,1.882,0.4209,1.066,0.092
4.402,3.364,78.284,135.000,156,3.4,731,1303,75.341,123.750,3.892,4.173,0.9963,3.364,0.097
0.791,3.189,78.284,135.000,157,3.2,171,1228,51.256,73.558,34.467,25.166,0.8544,3.189,0.731
4.991,1.337,78.284,135.000,158,1.3,839,416,76.077,125.526,3.041,3.422,0.9823,1.337,0.101
0.527,4.490,78.284,135.000,159,4.5,87,1707,28.631,238.359,64.659,50.909,0.9805,4.490,1.418
4.160,1.080,78.284,135.000,15,1.1,675,410,77.549,145.588,2.331,2.150,0.8244,1.080,0.092
2.483,2.526,78.284,135.000,160,2.5,410,936,75.341,128.250,3.317,3.837,0.8325,2.526,0.162
3.350,3.410,78.284,135.000,161,3.4,603,1247,79.753,138.214,1.591,2.158,0.3746,3.410,0.130
0.507,1.145,78.284,135.000,162,1.1,96,434,72.388,148.125,6.733,7.236,0.7658,1.145,0.442
1.000,1.251,78.284,135.000,163,1.3,162,465,75.341,128.250,3.317,4.087,0.3070,1.251,0.256
2.917,2.842,78.284,135.000,164,2.8,451,1014,76.077,139.737,2.442,2.897,0.6726,2.842,0.142
2.267,3.578,78.284,135.000,165,3.6,362,1326,75.341,146.250,3.892,4.104,0.8513,3.578,0.164
2.588,1.819,78.284,135.000,166,1.8,426,669,76.814,132.500,1.566,1.843,0.2949,1.819,0.108
4.490,2.391,78.284,135.000,167,2.4,724,996,76.814,132.500,1.566,2.109,0.6331,2.391,0.153
