dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_50_0-5_13_map.h5,100,132,init,0.207622,0.207622
sim_50_0-5_13_map.h5,100,132,mapping,21.8031,22.0107
sim_50_0-5_13_map.h5,100,132,gcp,4.87263,26.8834
sim_50_0-5_13_map.h5,100,132,total,5.75765,32.641
sim_200_0-5_33_map.h5,5,4,init,0.219015,0.219015
sim_200_0-5_33_map.h5,5,4,mapping,20.0481,20.2671
sim_200_0-5_33_map.h5,5,4,gcp,0.569266,20.8363
sim_200_0-5_33_map.h5,5,4,total,9.95875,30.7951
sim_200_0-5_33_map.h5,10,4,init,0.214663,0.214663
sim_200_0-5_33_map.h5,10,4,mapping,19.9774,20.1921
sim_200_0-5_33_map.h5,10,4,gcp,0.585331,20.7774
sim_200_0-5_33_map.h5,10,4,total,10.0778,30.8552
sim_200_0-5_33_map.h5,20,4,init,0.220231,0.220231
sim_200_0-5_33_map.h5,20,4,mapping,19.9437,20.1639
sim_200_0-5_33_map.h5,20,4,gcp,0.594611,20.7585
sim_200_0-5_33_map.h5,20,4,total,9.94367,30.7022
sim_200_0-5_33_map.h5,30,4,init,0.213703,0.213703
sim_200_0-5_33_map.h5,30,4,mapping,20.2547,20.4684
sim_200_0-5_33_map.h5,30,4,gcp,0.637684,21.106
sim_200_0-5_33_map.h5,30,4,total,9.94268,31.0487
sim_200_0-5_33_map.h5,40,4,init,0.219943,0.219943
sim_200_0-5_33_map.h5,40,4,mapping,20.1218,20.3418
sim_200_0-5_33_map.h5,40,4,gcp,0.57109,20.9129
sim_200_0-5_33_map.h5,40,4,total,9.96931,30.8822
sim_200_0-5_33_map.h5,50,4,init,0.216711,0.216711
sim_200_0-5_33_map.h5,50,4,mapping,20.0371,20.2538
sim_200_0-5_33_map.h5,50,4,gcp,0.629876,20.8837
sim_200_0-5_33_map.h5,50,4,total,9.9383,30.822
sim_200_0-5_33_map.h5,60,4,init,0.220743,0.220743
sim_200_0-5_33_map.h5,60,4,mapping,20.2558,20.4765
sim_200_0-5_33_map.h5,60,4,gcp,0.58181,21.0583
sim_200_0-5_33_map.h5,60,4,total,9.98284,31.0412
sim_200_0-5_33_map.h5,70,4,init,0.214279,0.214279
sim_200_0-5_33_map.h5,70,4,mapping,20.0748,20.2891
sim_200_0-5_33_map.h5,70,4,gcp,0.553201,20.8423
sim_200_0-5_33_map.h5,70,4,total,10.005,30.8473
sim_200_0-5_33_map.h5,80,4,init,0.213702,0.213702
sim_200_0-5_33_map.h5,80,4,mapping,20.0644,20.2781
sim_200_0-5_33_map.h5,80,4,gcp,0.937534,21.2156
sim_200_0-5_33_map.h5,80,4,total,9.6124,30.828
sim_200_0-5_33_map.h5,90,4,init,0.210183,0.210183
sim_200_0-5_33_map.h5,90,4,mapping,20.1438,20.354
sim_200_0-5_33_map.h5,90,4,gcp,0.598451,20.9525
sim_200_0-5_33_map.h5,90,4,total,9.96908,30.9215
sim_200_0-5_33_map.h5,100,4,init,0.219751,0.219751
sim_200_0-5_33_map.h5,100,4,mapping,20.158,20.3777
sim_200_0-5_33_map.h5,100,4,gcp,0.70623,21.084
sim_200_0-5_33_map.h5,100,4,total,9.94089,31.0248
sim_300_0-5_71_map.h5,5,4,init,0.232551,0.232551
sim_300_0-5_71_map.h5,5,4,mapping,19.8906,20.1231
sim_300_0-5_71_map.h5,5,4,gcp,0.610451,20.7336
sim_300_0-5_71_map.h5,5,4,total,9.94991,30.6835
sim_300_0-5_71_map.h5,10,4,init,0.235944,0.235944
sim_300_0-5_71_map.h5,10,4,mapping,20.3132,20.5491
sim_300_0-5_71_map.h5,10,4,gcp,0.896988,21.4461
sim_300_0-5_71_map.h5,10,4,total,9.88863,31.3347
sim_300_0-5_71_map.h5,20,4,init,0.220167,0.220167
sim_300_0-5_71_map.h5,20,4,mapping,20.0818,20.302
sim_300_0-5_71_map.h5,20,4,gcp,0.571218,20.8732
sim_300_0-5_71_map.h5,20,4,total,10.0214,30.8946
sim_300_0-5_71_map.h5,30,4,init,0.225799,0.225799
sim_300_0-5_71_map.h5,30,4,mapping,20.4059,20.6317
sim_300_0-5_71_map.h5,30,4,gcp,0.928477,21.5601
sim_300_0-5_71_map.h5,30,4,total,9.86665,31.4268
sim_300_0-5_71_map.h5,40,4,init,0.207942,0.207942
sim_300_0-5_71_map.h5,40,4,mapping,20.0112,20.2191
sim_300_0-5_71_map.h5,40,4,gcp,0.595154,20.8143
sim_300_0-5_71_map.h5,40,4,total,10.0017,30.8159
sim_300_0-5_71_map.h5,50,4,init,0.216839,0.216839
sim_300_0-5_71_map.h5,50,4,mapping,20.1657,20.3825
sim_300_0-5_71_map.h5,50,4,gcp,0.914909,21.2974
sim_300_0-5_71_map.h5,50,4,total,10.034,31.3315
sim_300_0-5_71_map.h5,60,4,init,0.216263,0.216263
sim_300_0-5_71_map.h5,60,4,mapping,20.1596,20.3759
sim_300_0-5_71_map.h5,60,4,gcp,0.566354,20.9423
sim_300_0-5_71_map.h5,60,4,total,9.98182,30.9241
sim_300_0-5_71_map.h5,70,4,init,0.220743,0.220743
sim_300_0-5_71_map.h5,70,4,mapping,19.9527,20.1734
sim_300_0-5_71_map.h5,70,4,gcp,0.622643,20.796
sim_300_0-5_71_map.h5,70,4,total,9.93887,30.7349
sim_300_0-5_71_map.h5,80,4,init,0.222727,0.222727
sim_300_0-5_71_map.h5,80,4,mapping,20.2316,20.4543
sim_300_0-5_71_map.h5,80,4,gcp,0.558097,21.0124
sim_300_0-5_71_map.h5,80,4,total,10.051,31.0634
sim_300_0-5_71_map.h5,90,4,init,0.224647,0.224647
sim_300_0-5_71_map.h5,90,4,mapping,20.018,20.2427
sim_300_0-5_71_map.h5,90,4,gcp,0.691478,20.9342
sim_300_0-5_71_map.h5,90,4,total,9.94598,30.8801
sim_300_0-5_71_map.h5,100,4,init,0.230823,0.230823
sim_300_0-5_71_map.h5,100,4,mapping,19.8842,20.1151
sim_300_0-5_71_map.h5,100,4,gcp,0.938621,21.0537
sim_300_0-5_71_map.h5,100,4,total,9.66293,30.7166
sim_300_1-0_90_map.h5,5,4,init,0.219687,0.219687
sim_300_1-0_90_map.h5,5,4,mapping,20.2672,20.4869
sim_300_1-0_90_map.h5,5,4,gcp,0.903676,21.3906
sim_300_1-0_90_map.h5,5,4,total,9.71019,31.1008
sim_300_1-0_90_map.h5,10,4,init,0.211751,0.211751
sim_300_1-0_90_map.h5,10,4,mapping,19.8721,20.0839
sim_300_1-0_90_map.h5,10,4,gcp,0.618068,20.702
sim_300_1-0_90_map.h5,10,4,total,9.98006,30.682
sim_300_1-0_90_map.h5,20,4,init,0.233511,0.233511
sim_300_1-0_90_map.h5,20,4,mapping,20.1062,20.3397
sim_300_1-0_90_map.h5,20,4,gcp,0.893916,21.2336
sim_300_1-0_90_map.h5,20,4,total,9.89324,31.1268
sim_300_1-0_90_map.h5,30,4,init,0.208102,0.208102
sim_300_1-0_90_map.h5,30,4,mapping,19.9127,20.1208
sim_300_1-0_90_map.h5,30,4,gcp,0.598195,20.719
sim_300_1-0_90_map.h5,30,4,total,9.97014,30.6891
sim_300_1-0_90_map.h5,40,4,init,0.219143,0.219143
sim_300_1-0_90_map.h5,40,4,mapping,19.9292,20.1483
sim_300_1-0_90_map.h5,40,4,gcp,0.547218,20.6955
sim_300_1-0_90_map.h5,40,4,total,10.11,30.8055
sim_300_1-0_90_map.h5,50,4,init,0.234824,0.234824
sim_300_1-0_90_map.h5,50,4,mapping,20.0028,20.2377
sim_300_1-0_90_map.h5,50,4,gcp,0.864827,21.1025
sim_300_1-0_90_map.h5,50,4,total,9.8941,30.9966
sim_300_1-0_90_map.h5,60,4,init,0.221415,0.221415
sim_300_1-0_90_map.h5,60,4,mapping,20.263,20.4845
sim_300_1-0_90_map.h5,60,4,gcp,0.676277,21.1607
sim_300_1-0_90_map.h5,60,4,total,9.90041,31.0611
sim_300_1-0_90_map.h5,70,4,init,0.221927,0.221927
sim_300_1-0_90_map.h5,70,4,mapping,20.0619,20.2838
sim_300_1-0_90_map.h5,70,4,gcp,0.575667,20.8595
sim_300_1-0_90_map.h5,70,4,total,10.0172,30.8767
sim_300_1-0_90_map.h5,80,4,init,0.211495,0.211495
sim_300_1-0_90_map.h5,80,4,mapping,20.0664,20.2779
sim_300_1-0_90_map.h5,80,4,gcp,0.661845,20.9397
sim_300_1-0_90_map.h5,80,4,total,9.9399,30.8796
sim_300_1-0_90_map.h5,90,4,init,0.212039,0.212039
sim_300_1-0_90_map.h5,90,4,mapping,20.2035,20.4155
sim_300_1-0_90_map.h5,90,4,gcp,0.609555,21.0251
sim_300_1-0_90_map.h5,90,4,total,9.95404,30.9791
sim_300_1-0_90_map.h5,100,4,init,0.213926,0.213926
sim_300_1-0_90_map.h5,100,4,mapping,20.0865,20.3004
sim_300_1-0_90_map.h5,100,4,gcp,0.630772,20.9312
sim_300_1-0_90_map.h5,100,4,total,9.96851,30.8997
sim_150_5-0_91_map.h5,5,7,init,0.224903,0.224903
sim_150_5-0_91_map.h5,5,7,mapping,20.1888,20.4137
sim_150_5-0_91_map.h5,5,7,gcp,0.959486,21.3732
sim_150_5-0_91_map.h5,5,7,total,9.64824,31.0214
sim_150_5-0_91_map.h5,10,7,init,0.214759,0.214759
sim_150_5-0_91_map.h5,10,7,mapping,20.2062,20.421
sim_150_5-0_91_map.h5,10,7,gcp,0.65218,21.0731
sim_150_5-0_91_map.h5,10,7,total,9.96978,31.0429
sim_150_5-0_91_map.h5,20,7,init,0.226727,0.226727
sim_150_5-0_91_map.h5,20,7,mapping,19.9943,20.221
sim_150_5-0_91_map.h5,20,7,gcp,0.631379,20.8524
sim_150_5-0_91_map.h5,20,7,total,9.94722,30.7996
sim_150_5-0_91_map.h5,30,7,init,0.209574,0.209574
sim_150_5-0_91_map.h5,30,7,mapping,20.109,20.3186
sim_150_5-0_91_map.h5,30,7,gcp,1.03357,21.3521
sim_150_5-0_91_map.h5,30,7,total,9.8806,31.2327
sim_150_5-0_91_map.h5,40,7,init,0.210342,0.210342
sim_150_5-0_91_map.h5,40,7,mapping,20.1683,20.3787
sim_150_5-0_91_map.h5,40,7,gcp,0.628052,21.0067
sim_150_5-0_91_map.h5,40,7,total,9.93138,30.9381
sim_150_5-0_91_map.h5,50,7,init,0.220455,0.220455
sim_150_5-0_91_map.h5,50,7,mapping,20.3154,20.5358
sim_150_5-0_91_map.h5,50,7,gcp,0.993983,21.5298
sim_150_5-0_91_map.h5,50,7,total,9.82024,31.35
sim_150_5-0_91_map.h5,60,7,init,0.223975,0.223975
sim_150_5-0_91_map.h5,60,7,mapping,20.0111,20.2351
sim_150_5-0_91_map.h5,60,7,gcp,0.627892,20.863
sim_150_5-0_91_map.h5,60,7,total,9.92265,30.7856
sim_150_5-0_91_map.h5,70,7,init,0.212519,0.212519
sim_150_5-0_91_map.h5,70,7,mapping,20.1609,20.3734
sim_150_5-0_91_map.h5,70,7,gcp,0.973087,21.3465
sim_150_5-0_91_map.h5,70,7,total,9.84709,31.1936
sim_150_5-0_91_map.h5,80,7,init,0.218599,0.218599
sim_150_5-0_91_map.h5,80,7,mapping,20.2031,20.4217
sim_150_5-0_91_map.h5,80,7,gcp,0.63506,21.0567
sim_150_5-0_91_map.h5,80,7,total,9.92063,30.9774
sim_150_5-0_91_map.h5,90,7,init,0.211111,0.211111
sim_150_5-0_91_map.h5,90,7,mapping,20.1386,20.3497
sim_150_5-0_91_map.h5,90,7,gcp,0.981023,21.3307
sim_150_5-0_91_map.h5,90,7,total,9.84687,31.1776
sim_150_5-0_91_map.h5,100,7,init,0.220583,0.220583
sim_150_5-0_91_map.h5,100,7,mapping,20.1906,20.4111
sim_150_5-0_91_map.h5,100,7,gcp,0.612051,21.0232
sim_150_5-0_91_map.h5,100,7,total,9.96076,30.9839
sim_300_4-0_96_map.h5,5,2,init,0.225736,0.225736
sim_300_4-0_96_map.h5,5,2,mapping,20.2152,20.4409
sim_300_4-0_96_map.h5,5,2,gcp,0.517456,20.9584
sim_300_4-0_96_map.h5,5,2,total,10.0595,31.0179
sim_300_4-0_96_map.h5,10,2,init,0.234695,0.234695
sim_300_4-0_96_map.h5,10,2,mapping,20.0929,20.3276
sim_300_4-0_96_map.h5,10,2,gcp,0.517136,20.8447
sim_300_4-0_96_map.h5,10,2,total,10.0896,30.9343
sim_300_4-0_96_map.h5,20,2,init,0.228231,0.228231
sim_300_4-0_96_map.h5,20,2,mapping,19.9753,20.2036
sim_300_4-0_96_map.h5,20,2,gcp,0.529969,20.7335
sim_300_4-0_96_map.h5,20,2,total,10.0424,30.7759
sim_300_4-0_96_map.h5,30,2,init,0.209767,0.209767
sim_300_4-0_96_map.h5,30,2,mapping,20.2684,20.4782
sim_300_4-0_96_map.h5,30,2,gcp,0.849179,21.3274
sim_300_4-0_96_map.h5,30,2,total,9.96646,31.2938
sim_300_4-0_96_map.h5,40,2,init,0.212038,0.212038
sim_300_4-0_96_map.h5,40,2,mapping,20.2681,20.4801
sim_300_4-0_96_map.h5,40,2,gcp,0.915132,21.3952
sim_300_4-0_96_map.h5,40,2,total,9.73477,31.13
sim_300_4-0_96_map.h5,50,2,init,0.216583,0.216583
sim_300_4-0_96_map.h5,50,2,mapping,20.1292,20.3458
sim_300_4-0_96_map.h5,50,2,gcp,0.916797,21.2626
sim_300_4-0_96_map.h5,50,2,total,9.88898,31.1516
sim_300_4-0_96_map.h5,60,2,init,0.218311,0.218311
sim_300_4-0_96_map.h5,60,2,mapping,20.1262,20.3445
sim_300_4-0_96_map.h5,60,2,gcp,0.534256,20.8788
sim_300_4-0_96_map.h5,60,2,total,10.0427,30.9215
sim_300_4-0_96_map.h5,70,2,init,0.20823,0.20823
sim_300_4-0_96_map.h5,70,2,mapping,20.3145,20.5228
sim_300_4-0_96_map.h5,70,2,gcp,0.521776,21.0445
sim_300_4-0_96_map.h5,70,2,total,10.1022,31.1467
sim_300_4-0_96_map.h5,80,2,init,0.227143,0.227143
sim_300_4-0_96_map.h5,80,2,mapping,19.9745,20.2016
sim_300_4-0_96_map.h5,80,2,gcp,0.860187,21.0618
sim_300_4-0_96_map.h5,80,2,total,9.93865,31.0005
sim_300_4-0_96_map.h5,90,2,init,0.208422,0.208422
sim_300_4-0_96_map.h5,90,2,mapping,19.966,20.1744
sim_300_4-0_96_map.h5,90,2,gcp,0.603059,20.7775
sim_300_4-0_96_map.h5,90,2,total,9.92735,30.7048
sim_300_4-0_96_map.h5,100,2,init,0.209447,0.209447
sim_300_4-0_96_map.h5,100,2,mapping,20.1255,20.3349
sim_300_4-0_96_map.h5,100,2,gcp,0.536497,20.8714
sim_300_4-0_96_map.h5,100,2,total,10.0558,30.9272
sim_250_5-0_99_map.h5,5,6,init,0.223335,0.223335
sim_250_5-0_99_map.h5,5,6,mapping,19.9751,20.1985
sim_250_5-0_99_map.h5,5,6,gcp,0.610195,20.8087
sim_250_5-0_99_map.h5,5,6,total,9.95932,30.768
sim_250_5-0_99_map.h5,10,6,init,0.210086,0.210086
sim_250_5-0_99_map.h5,10,6,mapping,20.3128,20.5229
sim_250_5-0_99_map.h5,10,6,gcp,0.63266,21.1555
sim_250_5-0_99_map.h5,10,6,total,9.97507,31.1306
sim_250_5-0_99_map.h5,20,6,init,0.222279,0.222279
sim_250_5-0_99_map.h5,20,6,mapping,20.1201,20.3423
sim_250_5-0_99_map.h5,20,6,gcp,0.950046,21.2924
sim_250_5-0_99_map.h5,20,6,total,9.85285,31.1452
sim_250_5-0_99_map.h5,30,6,init,0.202022,0.202022
sim_250_5-0_99_map.h5,30,6,mapping,19.7498,19.9518
sim_250_5-0_99_map.h5,30,6,gcp,0.650228,20.6021
sim_250_5-0_99_map.h5,30,6,total,9.90703,30.5091
sim_250_5-0_99_map.h5,40,6,init,0.216647,0.216647
sim_250_5-0_99_map.h5,40,6,mapping,20.2029,20.4195
sim_250_5-0_99_map.h5,40,6,gcp,0.638676,21.0582
sim_250_5-0_99_map.h5,40,6,total,9.95212,31.0103
sim_250_5-0_99_map.h5,50,6,init,0.221351,0.221351
sim_250_5-0_99_map.h5,50,6,mapping,20.1637,20.3851
