dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_200_1-0_10_map.h5,5,23,init,0.239368,0.239368
sim_200_1-0_10_map.h5,5,23,mapping,61.643,61.8823
sim_200_1-0_10_map.h5,5,23,gcp,0.744347,62.6267
sim_200_1-0_10_map.h5,5,23,total,9.93322,72.5599
sim_200_1-0_10_map.h5,10,23,init,0.217064,0.217064
sim_200_1-0_10_map.h5,10,23,mapping,60.2339,60.4509
sim_200_1-0_10_map.h5,10,23,gcp,0.739355,61.1903
sim_200_1-0_10_map.h5,10,23,total,9.93581,71.1261
sim_200_1-0_10_map.h5,20,23,init,0.2218,0.2218
sim_200_1-0_10_map.h5,20,23,mapping,61.3511,61.5729
sim_200_1-0_10_map.h5,20,23,gcp,1.06372,62.6367
sim_200_1-0_10_map.h5,20,23,total,9.60729,72.2439
sim_200_1-0_10_map.h5,30,23,init,0.219976,0.219976
sim_200_1-0_10_map.h5,30,23,mapping,61.4068,61.6268
sim_200_1-0_10_map.h5,30,23,gcp,1.33838,62.9651
sim_200_1-0_10_map.h5,30,23,total,9.3419,72.3071
sim_200_1-0_10_map.h5,40,23,init,0.228936,0.228936
sim_200_1-0_10_map.h5,40,23,mapping,61.2229,61.4519
sim_200_1-0_10_map.h5,40,23,gcp,1.58818,63.0401
sim_200_1-0_10_map.h5,40,23,total,9.01556,72.0556
sim_200_1-0_10_map.h5,50,23,init,0.243048,0.243048
sim_200_1-0_10_map.h5,50,23,mapping,60.8952,61.1383
sim_200_1-0_10_map.h5,50,23,gcp,1.60393,62.7422
sim_200_1-0_10_map.h5,50,23,total,8.98221,71.7244
sim_200_1-0_10_map.h5,60,23,init,0.220296,0.220296
sim_200_1-0_10_map.h5,60,23,mapping,60.5883,60.8086
sim_200_1-0_10_map.h5,60,23,gcp,1.62582,62.4344
sim_200_1-0_10_map.h5,60,23,total,9.04055,71.475
sim_200_1-0_10_map.h5,70,23,init,0.221704,0.221704
sim_200_1-0_10_map.h5,70,23,mapping,60.9075,61.1292
sim_200_1-0_10_map.h5,70,23,gcp,1.98724,63.1165
sim_200_1-0_10_map.h5,70,23,total,8.75996,71.8764
sim_200_1-0_10_map.h5,80,23,init,0.246217,0.246217
sim_200_1-0_10_map.h5,80,23,mapping,60.7955,61.0417
sim_200_1-0_10_map.h5,80,23,gcp,1.90359,62.9453
sim_200_1-0_10_map.h5,80,23,total,8.71747,71.6627
sim_200_1-0_10_map.h5,90,23,init,0.228232,0.228232
sim_200_1-0_10_map.h5,90,23,mapping,61.3029,61.5311
sim_200_1-0_10_map.h5,90,23,gcp,1.63487,63.166
sim_200_1-0_10_map.h5,90,23,total,9.01872,72.1847
sim_200_1-0_10_map.h5,100,23,init,0.220424,0.220424
sim_200_1-0_10_map.h5,100,23,mapping,61.325,61.5454
sim_200_1-0_10_map.h5,100,23,gcp,1.95466,63.5
sim_200_1-0_10_map.h5,100,23,total,8.72403,72.2241
sim_50_0-5_13_map.h5,5,641,init,0.219912,0.219912
sim_50_0-5_13_map.h5,5,641,mapping,93.4989,93.7189
sim_50_0-5_13_map.h5,5,641,gcp,7.27258,100.991
sim_50_0-5_13_map.h5,5,641,total,3.35298,104.344
sim_50_0-5_13_map.h5,10,641,init,0.235305,0.235305
sim_50_0-5_13_map.h5,10,641,mapping,91.8393,92.0746
sim_50_0-5_13_map.h5,10,641,gcp,7.24682,99.3215
sim_50_0-5_13_map.h5,10,641,total,3.46252,102.784
sim_50_0-5_13_map.h5,20,641,init,0.230825,0.230825
sim_50_0-5_13_map.h5,20,641,mapping,93.2834,93.5142
sim_50_0-5_13_map.h5,20,641,gcp,7.25508,100.769
sim_50_0-5_13_map.h5,20,641,total,3.44934,104.219
sim_50_0-5_13_map.h5,30,641,init,0.25553,0.25553
sim_50_0-5_13_map.h5,30,641,mapping,93.3495,93.6051
sim_50_0-5_13_map.h5,30,641,gcp,9.11716,102.722
sim_50_0-5_13_map.h5,30,641,total,1.60191,104.324
sim_50_0-5_13_map.h5,40,641,init,0.237064,0.237064
sim_50_0-5_13_map.h5,40,641,mapping,92.3803,92.6174
sim_50_0-5_13_map.h5,40,641,gcp,8.94637,101.564
sim_50_0-5_13_map.h5,40,641,total,1.7279,103.292
